"Month","Mkt","RET.vw","RET.vw_Calculate","RET.ew","RET.ew_Calculate"
"2010-01",-3.36,0.0987979726982129,9.87979726982129,-0.0060411993160723,-0.60411993160723
"2010-02",3.4,0.0337718820043758,3.37718820043758,0.0382261732843137,3.82261732843137
"2010-03",6.32,0.0631325837718114,6.31325837718114,0.078899976161219,7.8899976161219
"2010-04",2.01,0.0201795700641036,2.01795700641036,0.0767139445812808,7.67139445812808
"2010-05",-7.88,-0.0788126124491601,-7.88126124491601,-0.0810500888450148,-8.10500888450148
"2010-06",-5.56,-0.0551311862094532,-5.51311862094532,-0.0755611793478261,-7.55611793478261
"2010-07",6.94,0.069249783847264,6.9249783847264,0.0561771712311868,5.61771712311868
"2010-08",-4.76,-0.0475338905277891,-4.75338905277891,-0.0677285888059701,-6.77285888059701
"2010-09",9.55,0.0954857403168911,9.54857403168911,0.108048509476309,10.8048509476309
"2010-10",3.89,0.0387584955644409,3.87584955644409,0.0438533675662169,4.38533675662169
"2010-11",0.61,0.00617121050917521,0.617121050917521,0.0221401834126785,2.21401834126785
"2010-12",6.83,0.0682972412332629,6.82972412332629,0.0841426553714859,8.41426553714859
"2011-01",2,0.0199355070672939,1.99355070672939,0.018961830761447,1.8961830761447
"2011-02",3.5,0.0350715289690644,3.50715289690644,0.0436601289260385,4.36601289260385
"2011-03",0.47,0.00466266352740657,0.466266352740657,0.0127295027918782,1.27295027918782
"2011-04",2.9,0.0289869662753647,2.89869662753647,0.0151025397756247,1.51025397756247
"2011-05",-1.27,-0.0125842731494242,-1.25842731494242,-0.0202193394001538,-2.02193394001538
"2011-06",-1.75,-0.0174463633345155,-1.74463633345155,-0.02574984251158,-2.574984251158
"2011-07",-2.35,-0.023552437742762,-2.3552437742762,-0.0254936868217054,-2.54936868217054
"2011-08",-5.98,-0.0596012529118232,-5.96012529118232,-0.0926556867532468,-9.26556867532468
"2011-09",-7.59,-0.0755302656526793,-7.55302656526793,-0.107575566528067,-10.7575566528067
"2011-10",11.35,0.113358686249126,11.3358686249126,0.121091260552371,12.1091260552371
"2011-11",-0.28,-0.00282593818155718,-0.282593818155718,-0.0180051237597911,-1.80051237597911
"2011-12",0.74,0.00762557794124157,0.762557794124157,0.000664367384453781,0.0664367384453781
"2012-01",5.05,0.0503935357203783,5.03935357203783,0.0914497201266157,9.14497201266157
"2012-02",4.42,0.0442324890801147,4.42324890801147,0.0408198497491418,4.08198497491418
"2012-03",3.11,0.0311411981477985,3.11411981477985,0.0327532300978577,3.27532300978577
"2012-04",-0.85,-0.00851928228622004,-0.851928228622004,-0.0116999782781457,-1.16999782781457
"2012-05",-6.18,-0.0616556772782335,-6.16556772782335,-0.0695448974562798,-6.95448974562798
"2012-06",3.89,0.0390314747290436,3.90314747290436,0.0385396848404255,3.85396848404255
"2012-07",0.79,0.00792921913172346,0.792921913172347,-0.00957304713715047,-0.957304713715047
"2012-08",2.56,0.0255578846581682,2.55578846581682,0.0282822566158781,2.82822566158781
"2012-09",2.74,0.0273747095191381,2.73747095191381,0.0394744282258064,3.94744282258065
"2012-10",-1.75,-0.0174884484500242,-1.74884484500242,-0.0186347922043011,-1.86347922043011
"2012-11",0.79,0.00789181948363709,0.789181948363709,0.00338020443482964,0.338020443482964
"2012-12",1.19,0.0118003960723057,1.18003960723057,0.0254297658708627,2.54297658708627
"2013-01",5.57,0.0556644158852609,5.56644158852609,0.0729620324870325,7.29620324870325
"2013-02",1.29,0.0129795697471294,1.29795697471294,0.0112769675040961,1.12769675040961
"2013-03",4.03,0.0403643708573107,4.03643708573107,0.0445132249589491,4.45132249589491
"2013-04",1.55,0.0155941228958083,1.55941228958083,-0.000367175649794802,-0.0367175649794802
"2013-05",2.8,0.0280038323833845,2.80038323833845,0.0484667557377049,4.84667557377049
"2013-06",-1.2,-0.0119265148043266,-1.19265148043266,-0.000181677692728267,-0.0181677692728267
"2013-07",5.65,0.0562215356037951,5.62215356037951,0.0737204402515723,7.37204402515723
"2013-08",-2.71,-0.0272305683185063,-2.72305683185063,-0.0207451409800164,-2.07451409800164
"2013-09",3.77,0.0376547982077003,3.76547982077003,0.058403727148704,5.8403727148704
"2013-10",4.18,0.041684159988774,4.1684159988774,0.0252728194444444,2.52728194444444
"2013-11",3.13,0.031257871256064,3.1257871256064,0.0415194486413044,4.15194486413044
"2013-12",2.81,0.0281560603995285,2.81560603995285,0.0310119528738763,3.10119528738763
"2014-01",-3.32,-0.0331329036726834,-3.31329036726834,0.000655404891304347,0.0655404891304347
"2014-02",4.65,0.04654034740242,4.654034740242,0.047116137398374,4.7116137398374
"2014-03",0.43,0.00446674642761779,0.446674642761779,0.00047648986760335,0.047648986760335
"2014-04",-0.19,-0.00118640454086123,-0.118640454086123,-0.0403601934443847,-4.03601934443847
"2014-05",2.06,0.02062534093292,2.062534093292,0.00131132439678284,0.131132439678284
"2014-06",2.61,0.0261263964785503,2.61263964785503,0.0475843303952991,4.75843303952991
"2014-07",-2.04,-0.0203298649175505,-2.03298649175505,-0.0476121885289432,-4.76121885289432
"2014-08",4.24,0.0423358738875082,4.23358738875082,0.040779953858393,4.0779953858393
"2014-09",-1.97,-0.0196662411418526,-1.96662411418526,-0.0463024816976127,-4.63024816976127
"2014-10",2.52,0.0251802474148417,2.51802474148417,0.0278715205913411,2.78715205913411
"2014-11",2.55,0.0254555721633016,2.54555721633016,-0.000983402211108186,-0.0983402211108187
"2014-12",-0.06,-0.000686253019322209,-0.0686253019322209,0.0187718408732246,1.87718408732246
